Description;Channel;SecondDescription;"Start time";"AMR";"AMR_perc";"RCH";"RCH_perc";"SHR_perc";GroupID
"PROMO";"AXN Spin";" ";"07:34:23";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"CBS Action [Zone Romantica]";" ";"07:34:47";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"ADVENTURE";" ";"07:34:57";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"AXN Black [AXN Sci-Fi]";" ";"07:35:16";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"CBS Europa [Zone Europa]";" ";"07:36:15";0;0,000 %;0;0,000 %;0,000 %;3
"ALLO ALLO";"BBC Lifestyle";" ";"07:36:45";0;0,000 %;0;0,000 %;0,000 %;3
"ZWARIOWANE MELODIE /FILM ANIM.USA/";"Boomerang";" ";"07:36:55";8 549;0,328 %;8 549;0,328 %;5,389 %;3
"PATROL DROGOWKI /SER.DOK.POL./";"ADVENTURE";" ";"07:37:01";0;0,000 %;0;0,000 %;0,000 %;3
"AUTOPROMOCJA";"Canal+ Seriale [Canal+ Film 2]";" ";"07:37:20";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"CBS Reality [Zone Reality]";" ";"07:37:47";0;0,000 %;0;0,000 %;0,000 %;3
"AUTOPROMOCJA";"Canal+";" ";"07:37:51";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"BBC Earth [BBC Knowledge]";" ";"07:38:21";5 579;0,214 %;5 579;0,214 %;3,463 %;3
"GABRIEL /FILM FAM.PRZYG.POL./";"Canal+ Seriale [Canal+ Film 2]";" ";"07:40:02";52;0,002 %;4 315;0,165 %;0,017 %;3
"LAPU CAPU /PROG.ROZ./";"Canal+";" ";"07:40:18";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"Animal Planet HD";" ";"07:42:53";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"CBS Action [Zone Romantica]";" ";"07:43:19";0;0,000 %;0;0,000 %;0,000 %;3
"ZWARIOWANE MELODIE /FILM ANIM.USA/";"Boomerang";" ";"07:43:53";8 549;0,328 %;8 549;0,328 %;4,110 %;3
"PROMO";"CBS Drama [Club TV]";" ";"07:43:59";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"Animal Planet HD";" ";"07:44:14";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"07:44:33";0;0,000 %;0;0,000 %;0,000 %;3
"AUTOPROMOCJA";"Canal+";" ";"07:44:34";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"4FUN HITS [mjuzik.tv]";" ";"07:45:03";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"AXN";" ";"07:45:06";0;0,000 %;0;0,000 %;0,000 %;3
"AKTUALNOSCI FILMOWE+";"Canal+";" ";"07:45:16";596;0,023 %;5 414;0,208 %;0,242 %;3
"PROMO";"13 Ulica [13th Street Universal]";" ";"07:45:33";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"CBS Action [Zone Romantica]";" ";"07:47:34";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"BBC Earth [BBC Knowledge]";" ";"07:48:03";5 579;0,214 %;5 579;0,214 %;2,611 %;3
"PROMO";"AXN Black [AXN Sci-Fi]";" ";"07:48:05";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"CBS Drama [Club TV]";" ";"07:48:14";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"BBC CBeebies";" ";"07:48:19";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"07:48:55";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"13 Ulica [13th Street Universal]";" ";"07:49:33";0;0,000 %;0;0,000 %;0,000 %;3
"BLOK SPONSORSKI";"13 Ulica [13th Street Universal]";"MOKATE";"07:50:06";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"Boomerang";" ";"07:50:30";8 549;0,328 %;8 549;0,328 %;3,910 %;3
"MIESOZERCA /SER.DOK.USA/";"AXN Black [AXN Sci-Fi]";"MEAT EATER 205 - A RICH BOUNTY: HAWAII";"07:50:32";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"BBC Brit [BBC Entertainment]";" ";"07:50:42";0;0,000 %;0;0,000 %;0,000 %;3
"TOP GEAR";"BBC Brit [BBC Entertainment]";" ";"07:50:52";0;0,000 %;0;0,000 %;0,000 %;3
"BIG COOK LITTLE COOK";"BBC CBeebies";" ";"07:50:55";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"AXN Spin";" ";"07:51:39";0;0,000 %;0;0,000 %;0,000 %;3
"AUTOPROMOCJA";"Canal+ Film [Canal+ Zolty]";" ";"07:52:35";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"BBC Earth [BBC Knowledge]";" ";"07:52:44";0;0,000 %;0;0,000 %;0,000 %;3
"AUTOPROMOCJA";"Canal+ Sport [Canal+ Niebieski]";" ";"07:53:59";0;0,000 %;0;0,000 %;0,000 %;3
"ZWARIOWANE MELODIE /FILM ANIM.USA/";"Boomerang";" ";"07:54:16";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"Cartoon Network";" ";"07:54:20";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"BBC HD";" ";"07:55:14";5 579;0,214 %;5 579;0,214 %;2,330 %;3
"ELEMENTARY /SER.KRYM.USA/";"AXN Spin";" ";"07:55:15";0;0,000 %;0;0,000 %;0,000 %;3
"WSZYSCY SWIECI /FILM OBYCZ.POL./";"Canal+ Film [Canal+ Zolty]";" ";"07:55:17";1 362;0,052 %;19 265;0,739 %;0,389 %;3
"CALL THE MIDWIFE";"BBC HD";" ";"07:55:34";2 733;0,105 %;5 579;0,214 %;0,854 %;3
"PROMO";"4FUN.TV [4fun.tv]";" ";"07:56:06";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"CBS Action [Zone Romantica]";" ";"07:56:28";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"Animal Planet HD";" ";"07:56:37";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"BBC Lifestyle";" ";"07:56:43";0;0,000 %;0;0,000 %;0,000 %;3
"AUTOPROMOCJA";"Canal+ Discovery";" ";"07:57:03";0;0,000 %;0;0,000 %;0,000 %;3
"AUTOPROMOCJA";"Canal+ 1 [Canal+ Family 2]";" ";"07:57:32";857;0,033 %;5 414;0,208 %;0,350 %;3
"PROMO";"Animal Planet HD";" ";"07:58:13";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"Cartoon Network";" ";"07:58:21";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"CBS Action [Zone Romantica]";" ";"07:58:43";0;0,000 %;0;0,000 %;0,000 %;3
"NIESAMOWITY SWIAT GUMBALLA /SER.ANIM.USA/";"Cartoon Network";" ";"07:58:58";0;0,000 %;0;0,000 %;0,000 %;3
"TAKA ROZRYWKA";"ATM Rozrywka";" ";"07:59:00";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"CBS Reality [Zone Reality]";" ";"07:59:23";0;0,000 %;0;0,000 %;0,000 %;3
"BLOK SPONSORSKI";"13 Ulica [13th Street Universal]";"MOKATE";"07:59:33";0;0,000 %;0;0,000 %;0,000 %;3
"DALEKO OD NOSZY /SER.KOM.POL./";"ATM Rozrywka";" ";"07:59:40";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"13 Ulica [13th Street Universal]";" ";"07:59:41";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"CBS Drama [Club TV]";" ";"07:59:45";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"07:59:47";0;0,000 %;0;0,000 %;0,000 %;3
"PREMIER LEAGUE+ /MAG.PILKARSKI/";"Canal+ Sport [Canal+ Niebieski]";" ";"07:59:52";1 250;0,048 %;4 928;0,189 %;0,398 %;3
"GLINIARZ I PROKURATOR /SER.USA/";"CBS Action [Zone Romantica]";"JAKE AND THE FATMAN";"07:59:53";0;0,000 %;0;0,000 %;0,000 %;3
"HITS 2000 /TELEDYSKI/";"4FUN HITS [mjuzik.tv]";" ";"08:00:08";0;0,000 %;0;0,000 %;0,000 %;3
"PRZEBOJE 4FUN /TELEDYSKI/";"4FUN.TV [4fun.tv]";" ";"08:00:08";0;0,000 %;0;0,000 %;0,000 %;3
"PRZEBOJE 4FUN KIDS /TELEDYSKI/";"4FUN FIT&DANCE [TV.DISCO]";" ";"08:00:08";2 774;0,106 %;17 463;0,670 %;0,660 %;3
"DYPLOMACJA /FILM DRA.OBYCZ.FRA.NIEM/";"Ale Kino+ [Ale Kino]";" ";"08:00:11";0;0,000 %;0;0,000 %;0,000 %;3
"CIAZA I POROD: CALA PRAWDA /PROG.DOK.USA/";"CBS Reality [Zone Reality]";"PREGNANCY AND BIRTH: THE TRUTH";"08:00:13";0;0,000 %;0;0,000 %;0,000 %;3
"ZABOJCZE ZWIERZETA /SER.DOK.W.BRYT./";"Animal Planet HD";"DEADLY 60";"08:00:18";0;0,000 %;0;0,000 %;0,000 %;3
"BLOK SPONSORSKI";"13 Ulica [13th Street Universal]";"TREFL";"08:00:19";0;0,000 %;0;0,000 %;0,000 %;3
"ZWARIOWANE MELODIE /FILM ANIM.USA/";"Boomerang";" ";"08:00:21";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"AXN";" ";"08:00:22";0;0,000 %;0;0,000 %;0,000 %;3
"PASJA SPOSOB NA ZYCIE /SER.DOK.POL./";"Canal+ Discovery";" ";"08:00:25";0;0,000 %;0;0,000 %;0,000 %;3
"KOBIETY KTORE ZABIJAJA /SER.DOK.USA./";"13 Ulica [13th Street Universal]";"SNAPPED";"08:00:27";0;0,000 %;0;0,000 %;0,000 %;3
"O CO BIEGA? /MAG.SPORT./";"Canal+ 1 [Canal+ Family 2]";" ";"08:00:29";3 015;0,116 %;5 169;0,198 %;1,018 %;3
"PROMO";"CBS Europa [Zone Europa]";" ";"08:00:49";0;0,000 %;0;0,000 %;0,000 %;3
"BLIZNIACZE ZLO /PROG.DOK.USA/";"CI Polsat [Polsat Crime & Investigation Network]";"EVIL TWINS S1 EP.1";"08:00:54";0;0,000 %;0;0,000 %;0,000 %;3
"KAROLINA W MIESCIE /SER.KOM.USA/";"CBS Drama [Club TV]";"CAROLINE IN THE CITY";"08:01:00";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"AXN Black [AXN Sci-Fi]";" ";"08:03:54";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"CBS Europa [Zone Europa]";" ";"08:04:34";0;0,000 %;0;0,000 %;0,000 %;3
"BLOK SPONSORSKI";"CBS Europa [Zone Europa]";"BALCERZAK";"08:05:44";0;0,000 %;0;0,000 %;0,000 %;3
"POGON ZA PRAWDA /FILM DRAM.USA/";"CBS Europa [Zone Europa]";"DYING TO REMEMBER";"08:05:52";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"BBC Earth [BBC Knowledge]";" ";"08:06:39";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"BBC Brit [BBC Entertainment]";" ";"08:06:57";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"4FUN FIT&DANCE [TV.DISCO]";" ";"08:07:27";0;0,000 %;0;0,000 %;0,000 %;3
"ZWARIOWANE MELODIE /FILM ANIM.USA/";"Boomerang";" ";"08:07:54";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"08:08:08";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"AXN Spin";" ";"08:09:10";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"Cartoon Network";" ";"08:09:53";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"BBC CBeebies";" ";"08:10:01";0;0,000 %;0;0,000 %;0,000 %;3
"TYLKO PODROZE /SER.DOK.WL./";"ADVENTURE";" ";"08:10:21";0;0,000 %;0;0,000 %;0,000 %;3
"NINA AND THE NEURONS";"BBC CBeebies";" ";"08:10:48";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"CBS Action [Zone Romantica]";" ";"08:11:12";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"Animal Planet HD";" ";"08:11:14";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"BBC Earth [BBC Knowledge]";" ";"08:11:20";0;0,000 %;0;0,000 %;0,000 %;3
"AUTOPROMOCJA";"Canal+";" ";"08:12:32";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"AXN White [AXN Crime]";" ";"08:12:49";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"13 Ulica [13th Street Universal]";" ";"08:12:51";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"CBS Drama [Club TV]";" ";"08:12:59";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"CBS Reality [Zone Reality]";" ";"08:13:07";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"Animal Planet HD";" ";"08:13:35";0;0,000 %;0;0,000 %;0,000 %;3
"FIERCE EARTH";"BBC Earth [BBC Knowledge]";" ";"08:14:04";4 521;0,173 %;6 193;0,237 %;1,311 %;3
"PROMO";"CBS Action [Zone Romantica]";" ";"08:14:27";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"Boomerang";" ";"08:14:29";0;0,000 %;0;0,000 %;0,000 %;3
"BLOK SPONSORSKI";"Canal+ Sport2";"MODECOM";"08:14:54";4 928;0,189 %;4 928;0,189 %;1,651 %;3
"WAKACJE MIKOLAJKA /FILM KOM.FRA./";"Canal+";" ";"08:15:14";10 093;0,387 %;47 363;1,816 %;2,398 %;3
"PROMO";"AXN";" ";"08:15:23";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"CBS Drama [Club TV]";" ";"08:16:19";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"CBS Reality [Zone Reality]";" ";"08:16:22";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"13 Ulica [13th Street Universal]";" ";"08:17:10";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"Boomerang";" ";"08:17:59";0;0,000 %;0;0,000 %;0,000 %;3
"BLOK SPONSORSKI";"13 Ulica [13th Street Universal]";"TREFL";"08:18:05";0;0,000 %;0;0,000 %;0,000 %;3
"ZWARIOWANE MELODIE /FILM ANIM.USA/";"Boomerang";" ";"08:18:21";0;0,000 %;0;0,000 %;0,000 %;3
"AUTOPROMOCJA";"Canal+ Family [Canal+ Weekend]";" ";"08:18:52";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"AXN Black [AXN Sci-Fi]";" ";"08:19:23";0;0,000 %;0;0,000 %;0,000 %;3
"TAKA ROZRYWKA";"ATM Rozrywka";" ";"08:19:29";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"BBC Lifestyle";" ";"08:19:42";0;0,000 %;0;0,000 %;0,000 %;3
"AUTOPROMOCJA";"Canal+ Sport2";" ";"08:20:02";4 928;0,189 %;4 928;0,189 %;1,651 %;3
"NIE PRZEGAP /ZAPOWIEDZI/";"Canal+ Family [Canal+ Weekend]";" ";"08:20:04";0;0,000 %;0;0,000 %;0,000 %;3
"THE GOOD COOK";"BBC Lifestyle";" ";"08:20:12";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"4FUN.TV [4fun.tv]";" ";"08:22:02";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"08:22:10";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"Cartoon Network";" ";"08:22:25";0;0,000 %;0;0,000 %;0,000 %;3
"BLOK SPONSORSKI";"Canal+ Sport2";"NICE";"08:22:41";4 928;0,189 %;4 928;0,189 %;1,576 %;3
"PROMO";"AXN White [AXN Crime]";" ";"08:23:46";0;0,000 %;0;0,000 %;0,000 %;3
"ZWARIOWANE MELODIE /FILM ANIM.USA/";"Boomerang";" ";"08:24:33";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"BBC CBeebies";" ";"08:25:08";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"Cartoon Network";" ";"08:25:12";0;0,000 %;0;0,000 %;0,000 %;3
"NAPISALA MORDERSTWO /SER.KRYM.USA/";"AXN White [AXN Crime]";"MURDER SHE WROTE 1206 - SHOOTING IN ROME";"08:25:19";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"Animal Planet HD";" ";"08:26:24";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"13 Ulica [13th Street Universal]";" ";"08:26:44";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"CBS Reality [Zone Reality]";" ";"08:27:09";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"BBC Brit [BBC Entertainment]";" ";"08:27:14";0;0,000 %;0;0,000 %;0,000 %;3
"TV LOGO";"Canal+ Family [Canal+ Weekend]";" ";"08:27:32";0;0,000 %;0;0,000 %;0,000 %;3
"MISTER MAKER";"BBC CBeebies";" ";"08:27:42";0;0,000 %;0;0,000 %;0,000 %;3
"AUTOPROMOCJA";"Canal+ Family [Canal+ Weekend]";" ";"08:27:54";0;0,000 %;0;0,000 %;0,000 %;3
"AUTOPROMOCJA";"Canal+ 1 [Canal+ Family 2]";" ";"08:27:55";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"CBS Action [Zone Romantica]";" ";"08:28:31";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"CBS Europa [Zone Europa]";" ";"08:28:52";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"Animal Planet HD";" ";"08:28:55";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"AXN";" ";"08:29:07";0;0,000 %;0;0,000 %;0,000 %;3
"TAKA ROZRYWKA";"ATM Rozrywka";" ";"08:29:34";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"CBS Reality [Zone Reality]";" ";"08:29:39";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"BBC Earth [BBC Knowledge]";" ";"08:29:58";6 193;0,237 %;6 193;0,237 %;1,718 %;3
"PROMO";"CBS Drama [Club TV]";" ";"08:30:06";0;0,000 %;0;0,000 %;0,000 %;3
"DALEKO OD NOSZY /SER.KOM.POL./";"ATM Rozrywka";" ";"08:30:14";0;0,000 %;0;0,000 %;0,000 %;3
"CIAZA I POROD: CALA PRAWDA /PROG.DOK.USA/";"CBS Reality [Zone Reality]";"PREGNANCY AND BIRTH: THE TRUTH";"08:30:19";0;0,000 %;0;0,000 %;0,000 %;3
"LAPU CAPU EXTRA /PROGR.ROZR.POL./";"Canal+ Family [Canal+ Weekend]";" ";"08:30:21";0;0,000 %;0;0,000 %;0,000 %;3
"NIE PRZEGAP /ZAPOWIEDZI/";"Canal+ 1 [Canal+ Family 2]";" ";"08:30:22";0;0,000 %;0;0,000 %;0,000 %;3
"ZABOJCZE ZWIERZETA /SER.DOK.W.BRYT./";"Animal Planet HD";"DEADLY 60";"08:30:30";0;0,000 %;0;0,000 %;0,000 %;3
"KOMISARZ REX /SER AUSTR./";"AXN";"REX: A COP'S BEST FRIEND 413 - GEFAEHRLICHER AUFTRAG";"08:30:53";0;0,000 %;0;0,000 %;0,000 %;3
"KAROLINA W MIESCIE /SER.KOM.USA/";"CBS Drama [Club TV]";"CAROLINE IN THE CITY";"08:31:21";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"13 Ulica [13th Street Universal]";" ";"08:31:43";0;0,000 %;0;0,000 %;0,000 %;3
"ZWARIOWANE MELODIE /FILM ANIM.USA/";"Boomerang";" ";"08:31:46";0;0,000 %;0;0,000 %;0,000 %;3
"BLOK SPONSORSKI";"13 Ulica [13th Street Universal]";"TREFL";"08:32:18";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"CBS Action [Zone Romantica]";" ";"08:32:46";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"CBS Europa [Zone Europa]";" ";"08:33:32";0;0,000 %;0;0,000 %;0,000 %;3
"BLOK SPONSORSKI";"CBS Europa [Zone Europa]";"BALCERZAK";"08:34:07";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"BBC Earth [BBC Knowledge]";" ";"08:34:39";6 193;0,237 %;6 193;0,237 %;1,713 %;3
"PROMO";"BBC Lifestyle";" ";"08:35:42";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"AXN Black [AXN Sci-Fi]";" ";"08:35:51";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"AXN Spin";" ";"08:35:54";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"Cartoon Network";" ";"08:36:30";0;0,000 %;0;0,000 %;0,000 %;3
"AUTOPROMOCJA";"Canal+ 1 [Canal+ Family 2]";" ";"08:37:51";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"4FUN FIT&DANCE [TV.DISCO]";" ";"08:38:04";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"Boomerang";" ";"08:38:45";0;0,000 %;0;0,000 %;0,000 %;3
"AUTOPROMOCJA";"Canal+ Sport [Canal+ Niebieski]";" ";"08:38:54";704;0,027 %;4 928;0,189 %;0,180 %;3
"PROMO";"AXN White [AXN Crime]";" ";"08:39:12";0;0,000 %;0;0,000 %;0,000 %;3
"LAPU CAPU /PROG.ROZ./";"Canal+ 1 [Canal+ Family 2]";" ";"08:40:18";0;0,000 %;0;0,000 %;0,000 %;3
"TRANSSYBERYJSKA ODYSEJA /FILM DOK.ROS./";"ADVENTURE";" ";"08:40:19";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"Animal Planet HD";" ";"08:41:01";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"BBC Brit [BBC Entertainment]";" ";"08:41:41";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"CBS Drama [Club TV]";" ";"08:42:03";0;0,000 %;0;0,000 %;0,000 %;3
"GARFIELD SHORTS /SER.ANIM.FRA.USA/";"Boomerang";" ";"08:42:11";0;0,000 %;0;0,000 %;0,000 %;3
"PREMIER LEAGUE PREVIEW /MAG.SPORT.POL./";"Canal+ Sport [Canal+ Niebieski]";" ";"08:42:18";0;0,000 %;0;0,000 %;0,000 %;3
"KUMPLE Z DZUNGLI /SER.ANIM.FRA./";"Boomerang";" ";"08:42:38";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"Animal Planet HD";" ";"08:43:32";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"13 Ulica [13th Street Universal]";" ";"08:43:36";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"CBS Action [Zone Romantica]";" ";"08:44:09";0;0,000 %;0;0,000 %;0,000 %;3
"ZWARIOWANE MELODIE /FILM ANIM.USA/";"Boomerang";" ";"08:44:11";0;0,000 %;0;0,000 %;0,000 %;3
"AUTOPROMOCJA";"Canal+ Discovery";" ";"08:44:30";0;0,000 %;0;0,000 %;0,000 %;3
"AUTOPROMOCJA";"Canal+ 1 [Canal+ Family 2]";" ";"08:44:34";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"BBC Earth [BBC Knowledge]";" ";"08:45:09";6 193;0,237 %;6 193;0,237 %;1,607 %;3
"AKTUALNOSCI FILMOWE+";"Canal+ 1 [Canal+ Family 2]";" ";"08:45:16";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"AXN";" ";"08:45:48";0;0,000 %;0;0,000 %;0,000 %;3
"FIERCE EARTH";"BBC Earth [BBC Knowledge]";" ";"08:46:09";1 613;0,062 %;6 193;0,237 %;0,382 %;3
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"08:46:09";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"CBS Drama [Club TV]";" ";"08:46:18";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"BBC Brit [BBC Entertainment]";" ";"08:46:42";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"BBC CBeebies";" ";"08:46:57";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"BBC HD";" ";"08:47:29";0;0,000 %;0;0,000 %;0,000 %;3
"CALL THE MIDWIFE";"BBC HD";" ";"08:47:39";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"AXN Black [AXN Sci-Fi]";" ";"08:48:21";0;0,000 %;0;0,000 %;0,000 %;3
"MISTER MAKER";"BBC CBeebies";" ";"08:48:31";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"13 Ulica [13th Street Universal]";" ";"08:48:45";0;0,000 %;0;0,000 %;0,000 %;3
"BLOK SPONSORSKI";"13 Ulica [13th Street Universal]";"TREFL";"08:49:20";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"Cartoon Network";" ";"08:49:28";0;0,000 %;0;0,000 %;0,000 %;3
"KALIFORNIA W BUTELCE /SER.DOK.POL./";"Canal+ Discovery";" ";"08:50:14";0;0,000 %;0;0,000 %;0,000 %;3
"PRZEKRACZAJAC GRANICE /SER.FRA./";"AXN Black [AXN Sci-Fi]";"CROSSING LINES 103 - THE TERMINATOR";"08:50:41";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"AXN Spin";" ";"08:51:29";0;0,000 %;0;0,000 %;0,000 %;3
"ZWARIOWANE MELODIE /FILM ANIM.USA/";"Boomerang";" ";"08:51:36";0;0,000 %;0;0,000 %;0,000 %;3
"AUTOPROMOCJA";"Canal+ Sport [Canal+ Niebieski]";" ";"08:51:40";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"Cartoon Network";" ";"08:52:29";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"BBC Earth [BBC Knowledge]";" ";"08:52:38";6 193;0,237 %;6 193;0,237 %;1,462 %;3
"PROMO";"4FUN.TV [4fun.tv]";" ";"08:52:52";0;0,000 %;0;0,000 %;0,000 %;3
"TOM I JERRY - WIELKA UCIECZKA /FILM ANIM.USA/";"Cartoon Network";" ";"08:52:52";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"BBC Lifestyle";" ";"08:53:58";0;0,000 %;0;0,000 %;0,000 %;3
"ZLAP SPORT /PROG.ROZR./";"Canal+ Sport [Canal+ Niebieski]";" ";"08:54:22";0;0,000 %;0;0,000 %;0,000 %;3
"THE GOOD COOK";"BBC Lifestyle";" ";"08:54:38";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"AXN White [AXN Crime]";" ";"08:54:46";0;0,000 %;0;0,000 %;0,000 %;3
"33 SCENY Z ZYCIA /FILM DRAM.POL.NIEM./";"AXN Spin";" ";"08:55:33";774;0,030 %;11 880;0,455 %;0,152 %;3
"PROMO";"Animal Planet HD";" ";"08:56:16";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"BBC Earth [BBC Knowledge]";" ";"08:57:19";0;0,000 %;0;0,000 %;0,000 %;3
"AUTOPROMOCJA";"Canal+ Family [Canal+ Weekend]";" ";"08:57:41";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"CBS Europa [Zone Europa]";" ";"08:57:49";0;0,000 %;0;0,000 %;0,000 %;3
"TAKA ROZRYWKA";"ATM Rozrywka";" ";"08:58:26";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"Animal Planet HD";" ";"08:58:47";0;0,000 %;0;0,000 %;0,000 %;3
"PROMO";"BBC Brit [BBC Entertainment]";" ";"08:58:57";0;0,000 %;0;0,000 %;0,000 %;3
"BLOK SPONSORSKI";"13 Ulica [13th Street Universal]";"TREFL";"08:59:04";0;0,000 %;0;0,000 %;0,000 %;3
