Description;Channel;SecondDescription;"Start time";"AMR";"AMR_perc";"RCH";"RCH_perc";"SHR_perc";GroupID
"SWIATLO W SIERPNIU /FILM KROTK.POL./";"Ale Kino+ [Ale Kino]";" ";"02:55:04";0;0,000 %;0;0,000 %;0,000 %;1
"AUTOPROMOCJA";"Canal+ Seriale [Canal+ Film 2]";" ";"02:55:45";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"BBC Earth [BBC Knowledge]";" ";"02:56:23";0;0,000 %;0;0,000 %;0,000 %;1
"DEADLY POLE TO POLE";"BBC Earth [BBC Knowledge]";" ";"02:57:23";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"13 Ulica [13th Street Universal]";" ";"02:57:43";0;0,000 %;0;0,000 %;0,000 %;1
"BEZ PARDONU /SER.KRYM.USA/";"CBS Action [Zone Romantica]";"THE DISTRICT";"02:58:00";0;0,000 %;0;0,000 %;0,000 %;1
"AUTOPROMOCJA";"Canal+ Sport [Canal+ Niebieski]";" ";"02:58:37";0;0,000 %;0;0,000 %;0,000 %;1
"INSIDE MOVIES /MAG.FILM.USA/";"13 Ulica [13th Street Universal]";"INSIDE MOVIES";"02:58:53";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"AXN White [AXN Crime]";" ";"02:59:01";0;0,000 %;0;0,000 %;0,000 %;1
"TAKA ROZRYWKA";"ATM Rozrywka";" ";"02:59:37";0;0,000 %;0;0,000 %;0,000 %;1
"LAPU CAPU EXTRA /PROGR.ROZR.POL./";"Canal+ Seriale [Canal+ Film 2]";" ";"02:59:57";0;0,000 %;0;0,000 %;0,000 %;1
"WZOR /SER.SENS.USA/";"AXN White [AXN Crime]";"NUMB3RS 208 - IN PLAIN SIGHT";"03:00:16";0;0,000 %;0;0,000 %;0,000 %;1
"AWANTURA O KASE /TELETURNIEJ/";"ATM Rozrywka";" ";"03:00:17";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"AXN Black [AXN Sci-Fi]";" ";"03:00:27";0;0,000 %;0;0,000 %;0,000 %;1
"PRZEKLECI /PROG.DOK.USA/";"CI Polsat [Polsat Crime & Investigation Network]";"CURSED S1 EP.2";"03:00:28";0;0,000 %;0;0,000 %;0,000 %;1
"LOWCY GLOW /SER.DOK./";"AXN Black [AXN Sci-Fi]";"DOG & BETH: ON THE HUNT 109 - DOGLAHOMA: A FISTFUL OF WARRANTS";"03:00:42";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"Cartoon Network";" ";"03:00:52";0;0,000 %;0;0,000 %;0,000 %;1
"SUNSET BEACH /SER.USA/";"CBS Drama [Club TV]";"SUNSET BEACH";"03:00:58";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"Boomerang";" ";"03:01:04";0;0,000 %;0;0,000 %;0,000 %;1
"NINJAGO MISTRZOWIE SPINJITZU /SER.ANIM.DAN./";"Cartoon Network";" ";"03:01:18";0;0,000 %;0;0,000 %;0,000 %;1
"TURBOKOZAK /MAG.POL./";"Canal+ Sport [Canal+ Niebieski]";" ";"03:01:48";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"BBC CBeebies";" ";"03:01:49";0;0,000 %;0;0,000 %;0,000 %;1
"ROBIN HOOD DRAKA W SHERWOOD /SER.ANIM.FRA./";"Boomerang";" ";"03:01:53";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"AXN";" ";"03:02:14";26 036;0,546 %;26 036;0,546 %;13,424 %;1
