Description;Channel;SecondDescription;"Start time";"AMR";"AMR_perc";"RCH";"RCH_perc";"SHR_perc"
"BLOK SPONSORSKI";"CBS Europa [Zone Europa]";"BALCERZAK";"09:28:17";9 312;0,026 %;9 312;0,026 %;0,119 %
"PROMO";"Boomerang";" ";"09:28:23";24 563;0,069 %;24 563;0,069 %;0,313 %
"TV LOGO";"Canal+ Family [Canal+ Weekend]";" ";"09:28:24";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Reality [Zone Reality]";" ";"09:28:31";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"AXN";" ";"09:28:37";48 098;0,135 %;58 425;0,164 %;0,611 %
"AUTOPROMOCJA";"Canal+ Family [Canal+ Weekend]";" ";"09:28:40";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Action [Zone Romantica]";" ";"09:29:08";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Drama [Club TV]";" ";"09:29:37";0;0,000 %;0;0,000 %;0,000 %
"SAFE HOUSE /ZAPOWIEDZI/";"Ale Kino+ [Ale Kino]";" ";"09:29:46";0;0,000 %;0;0,000 %;0,000 %
"EUROPEAN TOUR /GOLF/";"Canal+ Sport2";"TURKISH AIRLINES OPEN";"09:29:59";721;0,002 %;33 007;0,092 %;0,009 %
"WIKING VIC /SER.ANIM.AUST./";"Canal+ Family [Canal+ Weekend]";" ";"09:30:07";0;0,000 %;0;0,000 %;0,000 %
"KONKURS";"Ale Kino+ [Ale Kino]";" ";"09:30:24";0;0,000 %;0;0,000 %;0,000 %
"BLOK SPONSORSKI";"AXN";"HONDA";"09:30:26";33 796;0,095 %;33 796;0,095 %;0,428 %
"AGENCI NCIS: LOS ANGELES /SER.KRYM.USA/";"AXN";"NCIS: LOS ANGELES 604 - THE 3RD CHOIR";"09:30:34";43 818;0,123 %;111 451;0,312 %;0,530 %
"WIECZOR Z RUBENEM OSTLUNDEM /ZAPOWIEDZI/";"Ale Kino+ [Ale Kino]";" ";"09:30:34";0;0,000 %;0;0,000 %;0,000 %
"EKIPA Z ESSEX /REALITY SHOW W.BRYT./";"CBS Drama [Club TV]";"THE ONLY WAY IS ESSEX";"09:31:02";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"09:31:07";23 092;0,065 %;23 092;0,065 %;0,289 %
"ZAGADKI KRYMINALNE PANNY FISHER /ZAPOWIEDZI/";"Ale Kino+ [Ale Kino]";" ";"09:31:49";0;0,000 %;0;0,000 %;0,000 %
"POLSKIE PRYWATNE ZBRODNIE /PROG.DOK.POL./";"CI Polsat [Polsat Crime & Investigation Network]";"PRIVATE CRIMES S1 EP.10";"09:31:58";22 035;0,062 %;23 092;0,065 %;0,269 %
"PROMO";"CBS Reality [Zone Reality]";" ";"09:32:01";0;0,000 %;0;0,000 %;0,000 %
"UWIEDZENIE JOE TYNANA /ZAPOWIEDZI/";"Ale Kino+ [Ale Kino]";" ";"09:32:19";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"13 Ulica [13th Street Universal]";" ";"09:32:26";7 177;0,020 %;7 177;0,020 %;0,090 %
"OMAR /ZAPOWIEDZI/";"Ale Kino+ [Ale Kino]";" ";"09:32:59";0;0,000 %;0;0,000 %;0,000 %
"BLOK SPONSORSKI";"13 Ulica [13th Street Universal]";"TREFL";"09:33:01";7 177;0,020 %;7 177;0,020 %;0,089 %
"PROMO";"CBS Action [Zone Romantica]";" ";"09:33:23";0;0,000 %;0;0,000 %;0,000 %
"GARFIELD SHORTS /SER.ANIM.FRA.USA/";"Boomerang";" ";"09:33:29";6 850;0,019 %;6 850;0,019 %;0,085 %
"PROMO";"BBC CBeebies";" ";"09:33:35";4 933;0,014 %;4 933;0,014 %;0,061 %
"WIECZOR Z JIA ZHANG-KE /ZAPOWIEDZI/";"Ale Kino+ [Ale Kino]";" ";"09:33:36";0;0,000 %;0;0,000 %;0,000 %
"JUNGLE BEAT /SER.ANIM.USA/";"Boomerang";" ";"09:33:57";6 850;0,019 %;6 850;0,019 %;0,085 %
"PROMO";"BBC Earth [BBC Knowledge]";" ";"09:33:57";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC CBeebies";" ";"09:35:09";4 933;0,014 %;4 933;0,014 %;0,061 %
"LITTLE HUMAN PLANET";"BBC CBeebies";" ";"09:35:45";4 933;0,014 %;4 933;0,014 %;0,061 %
"PROMO";"4FUN FIT&DANCE [TV.DISCO]";" ";"09:35:50";25 050;0,070 %;25 050;0,070 %;0,310 %
"PAN FASOLA /SER. ANIM./";"Boomerang";" ";"09:36:10";7 663;0,021 %;21 854;0,061 %;0,093 %
"PROMO";"BBC Brit [BBC Entertainment]";" ";"09:37:01";16 553;0,046 %;16 553;0,046 %;0,204 %
"PROMO";"BBC Earth [BBC Knowledge]";" ";"09:38:38";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"AXN White [AXN Crime]";" ";"09:39:33";36 855;0,103 %;36 855;0,103 %;0,451 %
"PROMO";"BBC HD";" ";"09:39:44";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC Lifestyle";" ";"09:40:03";0;0,000 %;0;0,000 %;0,000 %
"DOCTOR WHO: BEST OF THE COMPANIONS";"BBC HD";" ";"09:40:04";0;0,000 %;0;0,000 %;0,000 %
"ALE KROTKIE";"Ale Kino+ [Ale Kino]";" ";"09:40:14";4 068;0,011 %;55 888;0,156 %;0,049 %
"PROMO";"CBS Reality [Zone Reality]";" ";"09:40:24";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC CBeebies";" ";"09:40:38";4 933;0,014 %;4 933;0,014 %;0,061 %
"PROMO";"AXN Black [AXN Sci-Fi]";" ";"09:40:48";11 475;0,032 %;13 616;0,038 %;0,141 %
"BLOK SPONSORSKI";"ATM Rozrywka";"CINKCIARZ.PL";"09:40:52";44 414;0,124 %;44 414;0,124 %;0,545 %
"SHOW ME SHOW ME";"BBC CBeebies";" ";"09:40:53";3 942;0,011 %;4 933;0,014 %;0,048 %
"TAKA ROZRYWKA";"ATM Rozrywka";" ";"09:41:00";81 913;0,229 %;81 913;0,229 %;1,009 %
"PIERWSZA MILOSC /SER.OBYCZ.POL./";"ATM Rozrywka";" ";"09:41:40";80 176;0,224 %;168 031;0,470 %;0,961 %
"AUTOPROMOCJA";"Canal+ Family [Canal+ Weekend]";" ";"09:42:04";0;0,000 %;0;0,000 %;0,000 %
"AUTOPROMOCJA";"Canal+ Film [Canal+ Zolty]";" ";"09:42:35";3 143;0,009 %;7 700;0,022 %;0,039 %
"PROMO";"AXN";" ";"09:42:58";62 434;0,175 %;65 131;0,182 %;0,772 %
"PROMO";"Animal Planet HD";" ";"09:43:06";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"09:43:07";23 092;0,065 %;23 092;0,065 %;0,285 %
"PROMO";"CBS Action [Zone Romantica]";" ";"09:43:16";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"13 Ulica [13th Street Universal]";" ";"09:43:28";7 177;0,020 %;7 177;0,020 %;0,089 %
"PROMO";"CBS Drama [Club TV]";" ";"09:43:43";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Reality [Zone Reality]";" ";"09:44:39";0;0,000 %;0;0,000 %;0,000 %
"WIKING VIC /SER.ANIM.AUST./";"Canal+ Family [Canal+ Weekend]";" ";"09:45:01";0;0,000 %;0;0,000 %;0,000 %
"POJUTRZE /FILM DRAM.USA/";"Canal+ Film [Canal+ Zolty]";" ";"09:45:02";22 717;0,064 %;75 479;0,211 %;0,278 %
"PROMO";"4FUN HITS [mjuzik.tv]";" ";"09:45:43";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"Animal Planet HD";" ";"09:47:42";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"09:47:45";23 092;0,065 %;23 092;0,065 %;0,284 %
"BLOK SPONSORSKI";"CBS Europa [Zone Europa]";"BALCERZAK";"09:47:48";2 813;0,008 %;2 813;0,008 %;0,035 %
"AUTOPROMOCJA";"Canal+";" ";"09:48:24";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"13 Ulica [13th Street Universal]";" ";"09:48:37";7 177;0,020 %;7 177;0,020 %;0,087 %
"BLOK SPONSORSKI";"13 Ulica [13th Street Universal]";"TREFL";"09:49:40";7 177;0,020 %;7 177;0,020 %;0,087 %
"OGLOSZENIE PLATNE";"ATM Rozrywka";"ALKOHOL I KLUCZYKI? WYKLUCZONE";"09:50:17";97 298;0,272 %;97 298;0,272 %;1,167 %
"PROMO";"CBS Europa [Zone Europa]";" ";"09:50:36";2 813;0,008 %;2 813;0,008 %;0,034 %
"ZABOJCZA PIEKNOSC /FILM SENS.NIEM.USA/";"CBS Europa [Zone Europa]";"DROP DEAD GORGEOUS";"09:51:16";7 527;0,021 %;41 709;0,117 %;0,092 %
"PROMO";"BBC Brit [BBC Entertainment]";" ";"09:51:17";8 700;0,024 %;14 727;0,041 %;0,104 %
"TAKA ROZRYWKA";"ATM Rozrywka";" ";"09:51:27";97 298;0,272 %;97 298;0,272 %;1,162 %
"KUCHNIA FILMOWA /MAG. FILMOWY/";"Canal+";" ";"09:52:06";6 082;0,017 %;7 700;0,022 %;0,073 %
"PROMO";"BBC Earth [BBC Knowledge]";" ";"09:53:03";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"AXN Black [AXN Sci-Fi]";" ";"09:53:08";14 522;0,041 %;14 522;0,041 %;0,173 %
"PROMO";"4FUN.TV [4fun.tv]";" ";"09:54:15";17 949;0,050 %;17 949;0,050 %;0,214 %
"PROMO";"AXN White [AXN Crime]";" ";"09:55:03";36 855;0,103 %;36 855;0,103 %;0,441 %
"PRZEKRACZAJAC GRANICE /SER.FRA./";"AXN Black [AXN Sci-Fi]";"CROSSING LINES 104 - LONG-HAUL PREDATORS";"09:55:38";18 240;0,051 %;38 713;0,108 %;0,221 %
"TV LOGO";"BBC Lifestyle";" ";"09:56:00";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"Cartoon Network";" ";"09:56:03";90 566;0,253 %;90 566;0,253 %;1,086 %
"BLOK SPONSORSKI";"BBC Lifestyle";"TREFL";"09:56:05";0;0,000 %;0;0,000 %;0,000 %
"THE GOOD COOK";"BBC Lifestyle";" ";"09:56:13";3 855;0,011 %;9 952;0,028 %;0,046 %
"AUTOPROMOCJA";"Canal+";" ";"09:56:23";8 400;0,024 %;10 291;0,029 %;0,101 %
"PROMO";"CBS Reality [Zone Reality]";" ";"09:56:32";0;0,000 %;0;0,000 %;0,000 %
"AUTOPROMOCJA";"Canal+ Family [Canal+ Weekend]";" ";"09:56:57";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC Brit [BBC Entertainment]";" ";"09:56:58";3 503;0,010 %;3 715;0,010 %;0,042 %
"PROMO";"Animal Planet HD";" ";"09:57:05";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"Boomerang";" ";"09:57:10";16 705;0,047 %;16 705;0,047 %;0,200 %
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"09:57:27";23 194;0,065 %;32 358;0,091 %;0,278 %
"PROMO";"BBC Earth [BBC Knowledge]";" ";"09:57:39";0;0,000 %;0;0,000 %;0,000 %
"TV LOGO";"Canal+ Family [Canal+ Weekend]";" ";"09:58:24";0;0,000 %;0;0,000 %;0,000 %
"BLOK SPONSORSKI";"Canal+ Sport [Canal+ Niebieski]";"CINKCIARZ.PL";"09:58:36";0;0,000 %;0;0,000 %;0,000 %
"AUTOPROMOCJA";"Canal+ Family [Canal+ Weekend]";" ";"09:58:39";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Reality [Zone Reality]";" ";"09:58:47";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"AXN";" ";"09:58:51";28 608;0,080 %;28 608;0,080 %;0,341 %
"BLOK SPONSORSKI";"13 Ulica [13th Street Universal]";"TREFL";"09:59:02";18 227;0,051 %;18 227;0,051 %;0,217 %
"SHARK";"BBC Earth [BBC Knowledge]";" ";"09:59:04";13 438;0,038 %;44 616;0,125 %;0,163 %
"PROMO";"13 Ulica [13th Street Universal]";" ";"09:59:10";18 227;0,051 %;18 227;0,051 %;0,217 %
"DISCO &DANCE /TELEDYSKI/";"4FUN FIT&DANCE [TV.DISCO]";" ";"09:59:24";30 057;0,084 %;101 830;0,285 %;0,369 %
"PROMO";"CBS Action [Zone Romantica]";" ";"09:59:29";2 813;0,008 %;2 813;0,008 %;0,034 %
"PROMO";"Animal Planet HD";" ";"09:59:41";0;0,000 %;0;0,000 %;0,000 %
"DINOPAWS";"BBC CBeebies";" ";"09:59:48";2 452;0,007 %;6 903;0,019 %;0,029 %
"PRAWDZIWE AKCJE RATUNKOWE /SER.DOK.USA/";"CBS Reality [Zone Reality]";"REAL RESCUES";"10:00:02";343;0,001 %;4 958;0,014 %;0,004 %
"SONARGAON AZJATYCKA ATLANTYDA /FILM DOK.FRA./";"Canal+";" ";"10:00:05";895;0,003 %;34 471;0,096 %;0,011 %
"WIKING VIC /SER.ANIM.AUST./";"Canal+ Family [Canal+ Weekend]";" ";"10:00:06";0;0,000 %;0;0,000 %;0,000 %
"HITS 80'S /TELEDYSKI/";"4FUN HITS [mjuzik.tv]";" ";"10:00:08";256;0,001 %;13 025;0,036 %;0,003 %
"ZOSTAN GWIAZDA /TELEDYSKI/";"4FUN.TV [4fun.tv]";" ";"10:00:08";13 765;0,039 %;80 296;0,225 %;0,167 %
"PIATEK TRZYNASTEGO /SER.HOR.USA/";"CBS Action [Zone Romantica]";"FRIDAY THE 13TH THE SERIES";"10:00:09";2 801;0,008 %;14 898;0,042 %;0,034 %
"PROMO";"CBS Drama [Club TV]";" ";"10:00:10";0;0,000 %;0;0,000 %;0,000 %
"EKSTREMALNE POLOWY JAKUBA VAGNERA /SER.DOK.USA/";"Animal Planet HD";"BIG FISH MAN";"10:00:16";2 920;0,008 %;31 104;0,087 %;0,035 %
"BLOK SPONSORSKI";"13 Ulica [13th Street Universal]";"TREFL";"10:00:20";18 227;0,051 %;18 227;0,051 %;0,217 %
"Z ARCHIWUM 997 /SER.DOK.POL./";"CI Polsat [Polsat Crime & Investigation Network]";"Z ARCHIWUM 997 S2 EP.4";"10:00:26";8 756;0,025 %;35 497;0,099 %;0,105 %
"COLUMBO /SER.KRYM.USA/";"13 Ulica [13th Street Universal]";"COLUMBO: AGENDA FOR MURDER";"10:00:28";42 887;0,120 %;140 254;0,393 %;0,526 %
"BEVERLY HILLS 90210 /SER.USA/";"CBS Drama [Club TV]";"BEVERLY HILLS 90210";"10:01:05";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"Boomerang";" ";"10:02:23";38 124;0,107 %;38 124;0,107 %;0,456 %
"GARFIELD SHOW /SER.ANIM.FRA.USA/";"Boomerang";" ";"10:02:49";39 286;0,110 %;52 047;0,146 %;0,468 %
"AUTOPROMOCJA";"Canal+ Sport [Canal+ Niebieski]";" ";"10:03:26";0;0,000 %;0;0,000 %;0,000 %
"AUTOPROMOCJA";"Canal+ Discovery";" ";"10:03:35";3 427;0,010 %;3 427;0,010 %;0,041 %
"BLOK SPONSORSKI";"Canal+ Sport [Canal+ Niebieski]";"CINKCIARZ.PL";"10:05:08";0;0,000 %;0;0,000 %;0,000 %
"BEZ GRANIC /SER.DOK.KAN./";"Canal+ Discovery";" ";"10:05:12";1 923;0,005 %;3 427;0,010 %;0,023 %
"PROMO";"4FUN FIT&DANCE [TV.DISCO]";" ";"10:06:53";35 861;0,100 %;35 861;0,100 %;0,425 %
"PROMO";"BBC Brit [BBC Entertainment]";" ";"10:06:55";3 715;0,010 %;3 715;0,010 %;0,044 %
"BLOK SPONSORSKI";"BBC Brit [BBC Entertainment]";"TREFL";"10:07:05";3 715;0,010 %;3 715;0,010 %;0,044 %
"TOP GEAR";"BBC Brit [BBC Entertainment]";" ";"10:07:13";3 188;0,009 %;45 481;0,127 %;0,039 %
"FOCUSED /SER.DOK.USA/";"ADVENTURE";" ";"10:07:46";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Reality [Zone Reality]";" ";"10:08:56";0;0,000 %;0;0,000 %;0,000 %
"BLOK SPONSORSKI";"BBC Lifestyle";"TREFL";"10:10:25";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"10:10:48";7 537;0,021 %;7 537;0,021 %;0,089 %
"DINOPAWS";"BBC CBeebies";" ";"10:10:58";17 339;0,049 %;34 706;0,097 %;0,207 %
"PROMO";"AXN Black [AXN Sci-Fi]";" ";"10:10:59";30 713;0,086 %;30 713;0,086 %;0,362 %
"HOMO NARRANS /ZAPOWIEDZI/";"Ale Kino+ [Ale Kino]";" ";"10:11:45";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"AXN White [AXN Crime]";" ";"10:11:57";22 017;0,062 %;22 017;0,062 %;0,259 %
"AUTOPROMOCJA";"Canal+ Family [Canal+ Weekend]";" ";"10:12:03";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Reality [Zone Reality]";" ";"10:12:11";0;0,000 %;0;0,000 %;0,000 %
"ALE TYDZIEN /ZAPOWIEDZI/";"Ale Kino+ [Ale Kino]";" ";"10:12:30";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"Animal Planet HD";" ";"10:12:48";7 237;0,020 %;7 237;0,020 %;0,085 %
"PROMO";"BBC Earth [BBC Knowledge]";" ";"10:12:50";9 203;0,026 %;9 203;0,026 %;0,109 %
"PROMO";"CBS Drama [Club TV]";" ";"10:14:38";0;0,000 %;0;0,000 %;0,000 %
"WIKING VIC /SER.ANIM.AUST./";"Canal+ Family [Canal+ Weekend]";" ";"10:15:00";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"Animal Planet HD";" ";"10:15:04";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"10:15:12";7 537;0,021 %;7 537;0,021 %;0,089 %
"PROMO";"CBS Europa [Zone Europa]";" ";"10:16:26";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"AXN";" ";"10:16:29";55 931;0,157 %;55 931;0,157 %;0,668 %
"TAKA ROZRYWKA";"ATM Rozrywka";" ";"10:17:13";33 806;0,095 %;33 806;0,095 %;0,403 %
"PROMO";"CBS Drama [Club TV]";" ";"10:17:53";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Action [Zone Romantica]";" ";"10:18:15";2 813;0,008 %;2 813;0,008 %;0,034 %
"PROMO";"13 Ulica [13th Street Universal]";" ";"10:20:16";4 254;0,012 %;4 254;0,012 %;0,052 %
"POWROT CZLOWIEKA ZWANEGO KONIEM/FILM USA/";"Ale Kino+ [Ale Kino]";" ";"10:20:17";3 233;0,009 %;102 268;0,286 %;0,040 %
"PROMO";"4FUN.TV [4fun.tv]";" ";"10:20:26";28 891;0,081 %;28 891;0,081 %;0,349 %
"PROMO";"CBS Europa [Zone Europa]";" ";"10:21:11";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Action [Zone Romantica]";" ";"10:21:30";2 813;0,008 %;2 813;0,008 %;0,034 %
"PROMO";"BBC CBeebies";" ";"10:22:08";27 803;0,078 %;27 803;0,078 %;0,335 %
"PROMO";"AXN Spin";" ";"10:22:17";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Reality [Zone Reality]";" ";"10:22:56";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC HD";" ";"10:23:26";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"Cartoon Network";" ";"10:23:31";66 981;0,187 %;66 981;0,187 %;0,798 %
"PROMO";"AXN White [AXN Crime]";" ";"10:23:39";28 504;0,080 %;36 855;0,103 %;0,341 %
"TAKA ROZRYWKA";"ATM Rozrywka";" ";"10:24:00";38 623;0,108 %;38 623;0,108 %;0,462 %
"BLOK SPONSORSKI";"BBC Lifestyle";"TREFL";"10:24:16";0;0,000 %;0;0,000 %;0,000 %
"DOCTOR WHO";"BBC HD";" ";"10:24:16";112;0,000 %;5 079;0,014 %;0,001 %
"PROMO";"BBC CBeebies";" ";"10:24:34";27 803;0,078 %;27 803;0,078 %;0,333 %
"PROMO";"BBC Earth [BBC Knowledge]";" ";"10:24:37";9 203;0,026 %;9 203;0,026 %;0,110 %
"SARAH & DUCK";"BBC CBeebies";" ";"10:25:07";30 354;0,085 %;42 692;0,119 %;0,368 %
"GRAND HOTEL /SER.KRYM.HISZP./";"AXN White [AXN Crime]";"GRAND HOTEL 207 - EL BAUTIZO";"10:25:21";9 838;0,028 %;33 034;0,092 %;0,122 %
"PROMO";"13 Ulica [13th Street Universal]";" ";"10:25:25";31 552;0,088 %;31 552;0,088 %;0,380 %
"PROMO";"Animal Planet HD";" ";"10:25:57";16 618;0,047 %;16 618;0,047 %;0,201 %
"PROMO";"Boomerang";" ";"10:26:14";28 269;0,079 %;28 269;0,079 %;0,341 %
"PROMO";"CBS Reality [Zone Reality]";" ";"10:26:26";0;0,000 %;0;0,000 %;0,000 %
"BLOK SPONSORSKI";"13 Ulica [13th Street Universal]";"TREFL";"10:26:28";31 552;0,088 %;31 552;0,088 %;0,382 %
"PROMO";"BBC Lifestyle";" ";"10:26:30";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"10:26:32";35 554;0,100 %;53 302;0,149 %;0,430 %
"THE GOOD COOK";"BBC Lifestyle";" ";"10:26:55";4 223;0,012 %;13 100;0,037 %;0,052 %
"AUTOPROMOCJA";"Canal+ Family [Canal+ Weekend]";" ";"10:26:56";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"AXN Black [AXN Sci-Fi]";" ";"10:27:00";13 638;0,038 %;15 505;0,043 %;0,164 %
"PROMO";"CBS Drama [Club TV]";" ";"10:27:02";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"Cartoon Network";" ";"10:27:32";55 652;0,156 %;55 652;0,156 %;0,670 %
"PIERWSZA MILOSC /SER.OBYCZ.POL./";"ATM Rozrywka";" ";"10:27:50";43 886;0,123 %;94 545;0,265 %;0,543 %
"ANGELO RZADZI /SER.ANIM.FRA.KAN./";"Cartoon Network";" ";"10:28:12";70 879;0,198 %;145 753;0,408 %;0,875 %
"PROMO";"BBC Brit [BBC Entertainment]";" ";"10:28:25";3 715;0,010 %;3 715;0,010 %;0,045 %
"BLOK SPONSORSKI";"AXN";"HONDA";"10:28:34";41 268;0,115 %;41 268;0,115 %;0,497 %
"TV LOGO";"Canal+ Family [Canal+ Weekend]";" ";"10:28:38";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"AXN";" ";"10:28:42";40 881;0,114 %;55 931;0,157 %;0,497 %
"AUTOPROMOCJA";"Canal+ Family [Canal+ Weekend]";" ";"10:28:53";0;0,000 %;0;0,000 %;0,000 %
"MUMINKI NA RIWIERZE /FILM ANIM.FINL.FR./";"Canal+ Family [Canal+ Weekend]";" ";"10:30:05";165;0,000 %;12 167;0,034 %;0,002 %
"BLOK SPONSORSKI";"AXN";"DENON";"10:30:31";40 805;0,114 %;40 805;0,114 %;0,498 %
"PROMO";"Animal Planet HD";" ";"10:30:33";0;0,000 %;0;0,000 %;0,000 %
"AGENCI NCIS: LOS ANGELES /SER.KRYM.USA/";"AXN";"NCIS: LOS ANGELES 605 - BLACK BUDGET";"10:30:39";56 769;0,159 %;156 387;0,438 %;0,706 %
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"10:31:07";18 550;0,052 %;18 550;0,052 %;0,227 %
"PROMO";"CBS Drama [Club TV]";" ";"10:31:22";0;0,000 %;0;0,000 %;0,000 %
"GARFIELD SHORTS /SER.ANIM.FRA.USA/";"Boomerang";" ";"10:31:33";28 269;0,079 %;28 269;0,079 %;0,345 %
"POLSKIE PRYWATNE ZBRODNIE /PROG.DOK.POL./";"CI Polsat [Polsat Crime & Investigation Network]";"PRIVATE CRIMES S2 EP.1";"10:31:43";13 804;0,039 %;45 153;0,126 %;0,170 %
"PROMO";"Boomerang";" ";"10:32:00";28 269;0,079 %;28 269;0,079 %;0,345 %
"PROMO";"BBC CBeebies";" ";"10:32:13";42 692;0,119 %;42 692;0,119 %;0,521 %
"SZCZENIAK ZWANY SCOOBY DOO /SER.ANIM.USA/";"Boomerang";" ";"10:32:13";53 705;0,150 %;115 914;0,324 %;0,664 %
"BLOK SPONSORSKI";"BBC Brit [BBC Entertainment]";"TREFL";"10:32:26";3 715;0,010 %;3 715;0,010 %;0,045 %
"PROMO";"CBS Action [Zone Romantica]";" ";"10:33:10";2 813;0,008 %;2 813;0,008 %;0,034 %
"PROMO";"BBC CBeebies";" ";"10:34:59";42 692;0,119 %;42 692;0,119 %;0,526 %
"SARAH & DUCK";"BBC CBeebies";" ";"10:36:15";46 493;0,130 %;60 629;0,170 %;0,574 %
"PROMO";"CBS Action [Zone Romantica]";" ";"10:37:25";2 813;0,008 %;2 813;0,008 %;0,035 %
"TAKA ROZRYWKA";"ATM Rozrywka";" ";"10:38:16";50 456;0,141 %;50 456;0,141 %;0,621 %
"PROMO";"Cartoon Network";" ";"10:38:49";91 284;0,255 %;102 395;0,287 %;1,125 %
"PROMO";"ADVENTURE";" ";"10:39:40";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Reality [Zone Reality]";" ";"10:40:36";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC Earth [BBC Knowledge]";" ";"10:41:14";9 203;0,026 %;9 203;0,026 %;0,114 %
"1000 DNI DLA ZIEMI /SER.DOK.KAN./";"ADVENTURE";" ";"10:41:45";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"10:42:33";7 537;0,021 %;7 537;0,021 %;0,093 %
"PROMO";"CBS Drama [Club TV]";" ";"10:42:43";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"Animal Planet HD";" ";"10:42:51";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC CBeebies";" ";"10:43:21";58 501;0,164 %;60 629;0,170 %;0,722 %
"PROMO";"AXN";" ";"10:43:36";46 758;0,131 %;54 827;0,153 %;0,582 %
"PROMO";"CBS Action [Zone Romantica]";" ";"10:43:42";2 813;0,008 %;2 813;0,008 %;0,035 %
"KATIE MORAG";"BBC CBeebies";" ";"10:44:04";45 383;0,127 %;49 516;0,139 %;0,563 %
"PROMO";"BBC Lifestyle";" ";"10:44:25";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Reality [Zone Reality]";" ";"10:44:51";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Europa [Zone Europa]";" ";"10:44:54";2 159;0,006 %;12 592;0,035 %;0,027 %
"PROMO";"AXN Black [AXN Sci-Fi]";" ";"10:45:26";6 170;0,017 %;6 170;0,017 %;0,077 %
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"10:47:11";7 537;0,021 %;7 537;0,021 %;0,094 %
"PROMO";"Animal Planet HD";" ";"10:47:12";0;0,000 %;0;0,000 %;0,000 %
"AUTOPROMOCJA";"Canal+ 1 [Canal+ Family 2]";" ";"10:48:24";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"4FUN HITS [mjuzik.tv]";" ";"10:49:04";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"AXN Spin";" ";"10:49:34";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"13 Ulica [13th Street Universal]";" ";"10:49:37";40 381;0,113 %;40 381;0,113 %;0,506 %
"KOMISARZ REX /SER AUSTR./";"AXN Spin";" ";"10:50:39";3 796;0,011 %;4 982;0,014 %;0,047 %
