Description;Channel;SecondDescription;"Start time";"AMR";"AMR_perc";"RCH";"RCH_perc";"SHR_perc"
"LOWCY GLOW /SER.DOK./";"AXN Black [AXN Sci-Fi]";"DOG & BETH: ON THE HUNT 109 - DOGLAHOMA: A FISTFUL OF WARRANTS";"03:00:42";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"Cartoon Network";" ";"03:00:52";0;0,000 %;0;0,000 %;0,000 %
"SUNSET BEACH /SER.USA/";"CBS Drama [Club TV]";"SUNSET BEACH";"03:00:58";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"Boomerang";" ";"03:01:04";0;0,000 %;0;0,000 %;0,000 %
"NINJAGO MISTRZOWIE SPINJITZU /SER.ANIM.DAN./";"Cartoon Network";" ";"03:01:18";0;0,000 %;0;0,000 %;0,000 %
"TURBOKOZAK /MAG.POL./";"Canal+ Sport [Canal+ Niebieski]";" ";"03:01:48";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC CBeebies";" ";"03:01:49";0;0,000 %;0;0,000 %;0,000 %
"ROBIN HOOD DRAKA W SHERWOOD /SER.ANIM.FRA./";"Boomerang";" ";"03:01:53";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"AXN";" ";"03:02:14";42 667;0,119 %;45 970;0,129 %;3,384 %
"PROMO";"Animal Planet HD";" ";"03:03:11";0;0,000 %;0;0,000 %;0,000 %
"MR. BLOOM'S NURSERY";"BBC CBeebies";" ";"03:04:32";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Reality [Zone Reality]";" ";"03:04:45";0;0,000 %;0;0,000 %;0,000 %
"INSIDE MOVIES /MAG.FILM.USA/";"13 Ulica [13th Street Universal]";"INSIDE MOVIES";"03:04:53";11 570;0,032 %;11 570;0,032 %;0,941 %
"PROMO";"AXN Spin";" ";"03:05:42";0;0,000 %;0;0,000 %;0,000 %
"PRZEKRACZAJAC GRANICE /SER.FRA./";"AXN";"CROSSING LINES 304 - RECOIL";"03:05:44";29 252;0,082 %;39 301;0,110 %;2,660 %
"PROMO";"BBC Lifestyle";" ";"03:05:46";5 701;0,016 %;5 701;0,016 %;0,457 %
